                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.83314,                0.46377,                 1.1501,                0.88669,                0.84946,                0.87793,                0.52214,                 1.4499,                0.73163,                 1.6856,               0.000218,               0.000218,               0.000218
                    137,                0.78561,                0.42918,                 1.1017,                0.88708,                0.84472,                 0.8507,                0.51095,                 1.4805,                0.75135,                 1.7248,              0.0002048,              0.0002048,              0.0002048
                    138,                0.78421,                0.43445,                 1.1161,                0.89546,                0.83871,                0.86374,                0.51077,                 1.4551,                0.74917,                 1.6857,              0.0001916,              0.0001916,              0.0001916
                    139,                0.75644,                0.40914,                 1.1063,                0.89307,                0.80825,                0.84834,                0.51696,                 1.4341,                0.75125,                 1.6772,              0.0001784,              0.0001784,              0.0001784
                    140,                0.75121,                0.42876,                 1.1064,                0.91523,                 0.8172,                0.86029,                0.51442,                 1.4537,                0.76056,                 1.6883,              0.0001652,              0.0001652,              0.0001652
                    141,                0.77195,                0.42687,                 1.1134,                0.88306,                0.84946,                0.86839,                0.51799,                  1.431,                0.74619,                  1.676,               0.000152,               0.000152,               0.000152
                    142,                0.74019,                0.40596,                 1.0864,                0.88731,                0.84669,                  0.868,                0.52298,                 1.4159,                0.73676,                 1.6664,              0.0001388,              0.0001388,              0.0001388
                    143,                0.74507,                0.39416,                 1.1064,                 0.9063,                0.80645,                0.85473,                0.52356,                 1.4201,                0.75978,                  1.679,              0.0001256,              0.0001256,              0.0001256
                    144,                0.70776,                0.39317,                 1.0594,                0.91341,                0.80645,                0.85444,                0.52005,                 1.4267,                0.75737,                 1.6918,              0.0001124,              0.0001124,              0.0001124
                    145,                0.71554,                0.39345,                 1.0767,                0.92411,                0.80645,                0.86416,                0.51875,                 1.4312,                0.75208,                 1.6905,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.67507,                0.37864,                 1.0672,                0.87293,                 0.7957,                0.84169,                0.51225,                 1.4408,                0.73139,                 1.7022,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.70869,                0.38088,                 1.0649,                0.84597,                0.82796,                0.84804,                0.51143,                 1.4474,                0.72167,                 1.7062,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                 0.7127,                0.39451,                 1.0851,                0.86549,                0.83027,                0.86335,                0.51289,                 1.4454,                0.72684,                  1.708,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.69644,                0.38121,                 1.0539,                0.87163,                0.82796,                0.86255,                0.51417,                 1.4368,                0.72191,                 1.7062,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.67877,                0.38104,                 1.0659,                 0.8847,                0.82508,                0.86592,                0.51737,                 1.4323,                0.71152,                 1.7087,               3.32e-05,               3.32e-05,               3.32e-05
